,,Model,F_NET,R_TOA,Q_OCN,R_NET,OLR,ASR_TOA,LHF,SHF,PW,Precip.,LWP,IWP,clwvi_avg,Lapse Rate
0,P,CAM5-GCM,0.05,67.9,67.95,-85.68,233.28,301.18,78.01,7.62,54.8,2.7,0.045,0.013,0.058,-7.12
1,P,CAM6-GCM,0.06,79.89,79.95,-81.43,235.08,314.97,70.91,10.46,49.9,2.5,0.023,0.028,0.051,-7
2,E,CM1,7.36,100.44,107.81,-105.79,249.31,349.75,91.72,6.7,64.8,3.4,0.062,0.088,0.15,-7.14
3,E,CM1-VER,11.51,98.43,109.95,-107.53,250.91,349.34,90,6.02,63.3,3.3,0.054,0.085,0.139,-7.07
4,E,CM1-LES,9.41,97.18,106.59,-109.98,253.15,350.33,94.6,5.96,65.3,3.5,0.062,0.084,0.146,-7.15
5,P,CNRM-CM6,2.25,48.26,46.01,-64.65,199.14,247.39,59.04,7.86,62.4,2,0.063,0.028,0.091,-7.24
6,E,DALES,5.92,101.23,107.15,-82.92,266.53,367.77,70.85,6.15,51.9,4.5,0.006,0.002,0.007,-6.52
7,E,DALES-VER,1.32,104.49,103.18,-81.55,258,362.49,78.81,4.06,70.2,4.6,0.011,0.008,0.018,-6.32
8,E,DALES-LES,6.59,99.88,93.3,-86.35,262.19,362.07,87.67,5.27,69.9,5.1,0.017,0.007,0.025,-6.53
9,E,DALES-damping,4.66,96,100.67,-85.94,271.98,367.98,75.14,6.14,46.5,4.7,0.006,0.001,0.007,-6.4
10,E,DALES-damping-VER,4.78,103.23,108.01,-82.41,265.66,368.89,71.87,5.77,53.2,4.6,0.006,0.002,0.008,-6.53
11,E,DAM,7.12,93.94,86.82,-102.82,258.97,352.91,98.99,10.96,62,3.3,0.035,0.01,0.045,-7.07
12,P,GEOS-GCM,1.2,86.64,87.84,-65.33,204.17,290.81,61.57,2.55,58.6,2.1,0.074,0.033,0.107,-6.56
13,E,ICON-LEM-CRM,9.26,105.61,96.35,-81.21,232.75,338.37,80.83,9.64,60.4,2.8,0.036,0.021,0.057,-6.71
14,E,ICON-LEM-VER,9.27,104.81,95.54,-86.27,237.2,342.01,86.62,8.92,60,3,0.009,0.02,0.028,-6.67
15,E,ICON-LEM-LES,13.79,107.94,94.15,-78.73,226.6,334.54,83.97,8.56,67.1,2.9,0.025,0.024,0.049,-6.75
16,E,ICON-NWP-CRM,6.33,101.14,94.82,-65.14,230.78,331.92,62.57,8.9,45.6,2.2,0.03,0.024,0.055,-7.01
17,E,MESONH,0.97,103.18,102.21,-89.1,232.43,335.61,81.58,8.48,57.7,2.2,0.015,0.034,0.049,-7.53
18,E,MESONH-VER,0.94,102.57,103.51,-90.59,233.75,336.32,81.09,8.56,59.1,2.4,0.016,0.026,0.042,-7.21
19,E,MESONH-LES,3.97,101.39,97.42,-85.25,230.4,331.79,81.07,8.14,57.2,2.1,0.013,0.038,0.051,-7.07
20,E,MicroHH,4.57,109.06,113.64,-120.3,239.79,348.85,97.62,18.11,57.2,4.8,0.006,0.009,0.015,-6.35
21,E,MicroHH-VER,1,108.77,107.78,-121.63,236.92,345.7,104.38,18.25,62.9,6.2,0.02,0.011,0.031,-6.43
22,E,MicroHH-LES,9.9,110.22,120.12,-117.71,234.29,344.51,91.8,16.01,60.2,3.4,0.021,0.012,0.033,-6.69
23,E,MPAS,15.95,79.17,63.22,-98.35,274.91,354.08,103.09,11.21,41.3,3.5,0.047,0.09,0.137,-7.5
24,E,SAM-CRM,3.37,94.85,91.48,-104.41,248.39,343.24,98.79,8.99,64,3.4,0.042,0.041,0.083,-7.07
25,E,SAM-CRM-VER,4.55,98.7,94.15,-110.98,256.95,355.64,106.78,8.75,63.2,3.7,0.031,0.032,0.063,-6.89
26,E,SAM-CRM-LES,8.06,103.24,95.18,-104.11,250.21,353.45,103.75,8.42,62.9,3.6,0.021,0.034,0.054,-6.98
27,E,SCALE,5.55,97.78,92.24,-105.67,260.16,357.94,98.98,12.23,52.6,3.5,0.05,0.055,0.104,-7.36
28,E,UCLA-CRM,8.89,81.83,90.72,-142.99,268.47,350.31,125.41,8.7,60.6,4.4,0.026,0.073,0.099,-4.2
29,P,UKMO-GA7.1,0.32,107.7,108.02,-97.07,242.86,350.56,91.35,5.4,NaN,3.2,0.018,0.009,0.027,-7.17
30,E,UKMO-CASIM,0.39,87.82,88.21,-119.37,270.62,358.43,113.08,5.9,57,3.8,0.006,0.068,0.074,-6.94
31,E,UKMO-RA1-T-hrad,3.27,90.05,93.32,-112.82,264.9,354.95,105.5,4.05,52.7,3.7,0.006,0.039,0.045,-6.95
32,E,UKMO-RA1-T,2.19,79.29,81.48,-118.67,274.4,353.69,112.22,4.26,48,3.9,0.008,0.063,0.071,-6.74
33,E,UKMO-RA1-T-nocloud,1.72,92.01,93.73,-110.66,261.79,353.8,105.09,3.84,54.6,3.7,0.005,0.055,0.06,-6.99
34,E,WRF-COL-CRM,4.33,107.15,102.82,-104.2,243.35,350.5,102.09,6.43,71.1,3.5,0.016,0.009,0.025,-6.73
35,E,WRF-CRM,19.73,54.54,34.81,-113.77,251.46,306,101.88,31.62,68.5,3.5,0.094,0.071,0.165,-6.23
36,P,WRF-GCM-cps0,0.25,64.37,64.11,-96.73,229.09,293.46,91.55,5.43,65.2,3.3,0.092,0.02,0.112,-6.29
37,P,WRF-GCM-cps1,4.67,105.76,101.09,-116.74,261.1,366.87,114.14,7.27,56.9,4,0,0.004,0.004,-6.52
38,P,WRF-GCM-cps2,3.73,110.33,106.6,-103.03,241,351.33,102.72,4.03,69,3.5,0,0.014,0.014,-5.79
39,P,WRF-GCM-cps3,4.41,34.4,38.81,-110.06,243.24,277.64,97.84,7.81,58.7,3.5,0.106,0.011,0.117,-5.81
40,P,WRF-GCM-cps4,3.92,98.49,94.57,-114.35,268.33,366.83,113.27,5,45.6,3.9,0,0.005,0.005,-5.78
41,P,WRF-GCM-cps6,5.56,77.71,72.16,-101.93,235.77,313.48,101.37,6.12,64.6,3.4,0.036,0.017,0.053,-5.92
,,,,,,,,,,,,,,,,
,,STD,4.42,17.49,19.18,17.24,17.73,26.60,15.57,5.04,7.3,0.9,0.027,0.027,0.044,0.59
,,IQR,5.46,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.4,4.4,4.420,4.420,4.420,4.42
,,Mean,5.31,92.80,91.37,-99.15,247.39,340.18,92.13,8.44,58.9,3.5,0.030,0.031,0.061,-6.69
