,,Model,F_NET,R_TOA,Q_OCN,R_NET,OLR,ASR_TOA,LHF,SHF,PW,Precip.,LWP,IWP,clwvi_avg,Lapse Rate
0,P,CAM5-GCM,0.03,82.99,82.96,-72.38,229.04,312.03,63.5,8.91,35.5,2.2,0.028,0.012,0.04,-7.5
1,P,CAM6-GCM,0.1,97.51,97.42,-65.03,233.35,330.87,54.15,10.98,34.4,1.9,0.017,0.026,0.043,-7.36
2,E,CM1,5.51,105.91,111.42,-88.5,243.03,348.94,75.07,7.92,42.6,2.8,0.051,0.094,0.146,-7.54
3,E,CM1-VER,8.68,103.97,112.65,-90.51,245.37,349.34,74.58,7.24,41.7,2.7,0.045,0.095,0.14,-7.5
4,E,CM1-LES,7.53,103.21,110.74,-91.42,245.02,348.23,76.78,7.11,43.1,2.8,0.052,0.093,0.145,-7.61
5,P,CNRM-CM6,1.83,58.88,57.05,-62.06,204.61,263.48,53.78,10.11,39,1.9,0.048,0.025,0.073,-7.8
6,E,DALES,5.99,101.73,107.71,-92.72,258.99,360.72,76.14,10.59,34.1,4.8,0.007,0.004,0.011,-7.44
7,E,DALES-VER,11.76,98.96,110.72,-102.06,256.39,355.34,83.98,6.33,46.2,5.5,0.013,0.013,0.026,-7.03
8,E,DALES-LES,7.23,103.05,95.82,-96.38,255.81,358.87,93.28,10.33,42,5.5,0.014,0.012,0.027,-7.32
9,E,DALES-damping,5.28,101.91,107.19,-90.89,259.71,361.62,74.76,10.85,31.9,4.6,0.006,0.003,0.01,-7.54
10,E,DALES-damping-VER,5.24,105.04,110.27,-88.81,258.2,363.24,73.86,9.71,33.2,4.7,0.007,0.004,0.011,-7.48
11,E,DAM,5.47,101.34,95.88,-83.76,250.22,351.56,77.64,11.58,40.4,2.6,0.029,0.012,0.041,-7.54
12,P,GEOS-GCM,1.78,88.1,89.88,-61.59,215.29,303.4,55.66,4.16,36.2,1.9,0.053,0.033,0.086,-7.3
13,E,ICON-LEM-CRM,6.66,111.18,104.52,-65.29,226,337.18,62.29,9.66,39.3,2.1,0.034,0.021,0.054,-7.22
14,E,ICON-LEM-VER,6.57,110.15,103.58,-70.2,230.31,340.46,67.63,9.14,38.7,2.3,0.006,0.021,0.026,-7.16
15,E,ICON-LEM-LES,8.93,113.17,104.24,-64.01,220.08,333.25,64.43,8.51,44,2.2,0.018,0.026,0.043,-7.22
16,E,ICON-NWP-CRM,3.89,108.56,104.66,-52.01,225.08,333.63,47.35,8.56,29.2,1.6,0.022,0.025,0.047,-7.51
17,E,MESONH,0.59,106.03,106.62,-72.56,226.59,332.61,63.01,8.97,38.5,1.7,0.014,0.036,0.05,-8.06
18,E,MESONH-VER,2.1,105.92,108.02,-73.25,226.78,332.7,62.13,9.02,39.4,1.9,0.014,0.029,0.043,-7.68
19,E,MESONH-LES,1.39,105.16,103.76,-69.14,224.53,329.69,62.16,8.37,38.3,1.6,0.011,0.038,0.048,-7.95
20,E,MicroHH,4.21,110.89,115.1,-85.66,239.79,350.68,71.12,10.33,40.2,3.4,0.002,0.008,0.01,-7.02
21,E,MicroHH-VER,1.61,112.91,111.3,-84.72,234.78,347.69,75.99,10.34,44.3,4.5,0.015,0.01,0.025,-6.97
22,E,MicroHH-LES,7.62,114.49,122.12,-82.26,231.85,346.34,66.27,8.37,43.5,2.5,0.015,0.012,0.027,-7.17
23,E,MPAS,16.31,86.27,69.95,-82.44,267.67,353.93,86.07,12.68,26.9,3,0.035,0.095,0.131,-7.91
24,E,SAM-CRM,3.62,100.97,97.35,-85.42,238.05,339.02,79.12,9.92,41.6,2.7,0.038,0.044,0.083,-7.56
25,E,SAM-CRM-VER,2.75,103.73,100.98,-94.05,249.69,353.42,86.8,10,41.3,3,0.028,0.036,0.064,-7.43
26,E,SAM-CRM-LES,12.66,109.69,97.03,-82.23,237.9,347.59,85,9.9,41.1,2.9,0.019,0.039,0.058,-7.53
27,E,SCALE,4.42,104.74,100.32,-87.94,252.57,357.31,79.6,12.75,34.5,2.8,0.035,0.057,0.092,-7.83
28,E,UCLA-CRM,7.72,88.79,96.51,-121.81,259.55,348.34,103.29,10.8,38.3,3.5,0.024,0.066,0.091,-6.7
29,P,UKMO-GA7.1,0.34,115.89,115.55,-75.98,230.91,346.8,70.74,5.58,NaN,2.4,0.021,0.011,0.031,-7.55
30,E,UKMO-CASIM,0.67,92.3,92.97,-100.05,263.39,355.69,92.18,7.2,37.9,3.2,0.006,0.074,0.08,-7.4
31,E,UKMO-RA1-T-hrad,2.85,93.68,96.54,-93.3,258.02,351.7,85.64,4.81,34.3,3,0.006,0.043,0.049,-7.48
32,E,UKMO-RA1-T,3.05,87.3,90.35,-96.84,263.22,350.52,89.25,4.53,31.6,3.1,0.007,0.056,0.063,-7.38
33,E,UKMO-RA1-T-nocloud,1.49,95.9,97.4,-91.41,255.06,350.96,85.16,4.75,35.8,3,0.005,0.06,0.065,-7.5
34,E,WRF-COL-CRM,3.23,109.65,106.42,-89.28,237.25,346.9,84.34,8.16,48,2.9,0.018,0.008,0.027,-7.13
35,E,WRF-CRM,6.91,57.69,50.78,-108.66,254.53,312.23,80.09,35.49,44.6,2.7,0.069,0.081,0.15,-6.97
36,P,WRF-GCM-cps0,1.62,69.38,67.76,-83.34,223.21,292.59,78.17,6.79,43.5,2.8,0.095,0.015,0.11,-6.54
37,P,WRF-GCM-cps1,4.31,113.48,109.17,-97.21,253.12,366.6,91.07,10.45,37.7,3.2,0,0.004,0.004,-6.34
38,P,WRF-GCM-cps2,3.15,119.66,116.5,-82.3,228.95,348.61,78.2,7.25,46.7,2.6,0,0.015,0.015,-6.08
39,P,WRF-GCM-cps3,2.14,35.68,37.82,-97.96,232.79,268.46,84.63,11.19,37.6,3,0.121,0.011,0.133,-6.35
40,P,WRF-GCM-cps4,4.01,106.25,102.24,-94.55,262.13,368.38,93.02,5.54,27.5,3.2,0,0.004,0.004,-6.28
41,P,WRF-GCM-cps6,4.77,79.71,74.93,-85.77,223.23,302.93,82.38,8.17,43.2,2.8,0.048,0.017,0.065,-6.21
,,,,,,,,,,,,,,,,
,,STD,3.53,17.18,18.13,13.92,15.67,23.98,12.33,4.66,5.1,1.0,0.025,0.028,0.042,0.48
,,IQR,4.74,16.73,13.05,19.22,26.65,20.16,18.30,3.09,7.1,0.9,0.028,0.032,0.055,0.48
,,Mean,4.67,98.14,97.48,-84.66,241.24,339.38,75.96,9.36,38.7,2.9,0.026,0.033,0.059,-7.26
